"SUID","Cooccurrence","Coregulation","CoregulationBin","interaction","name","NetworkPresence","NewBin","NewBin2","selected","shared interaction","shared name"
"199436",,"0.61","33","(interacts)","PC_ae_C32:6 ((interacts)) PC_aa_C36:3",,"1","1","false","(interacts)","PC_ae_C32:6 ((interacts)) PC_aa_C36:3"
"198595",,"0.62","33","(interacts)","N-C10:0-Cer(2H) ((interacts)) PC_aa_C36:3",,"1","1","false","(interacts)","N-C10:0-Cer(2H) ((interacts)) PC_aa_C36:3"
"202765","0.798607485161944","0.61","33","(interacts)","SM_C16:0 ((interacts)) PC_aa_C36:3",,"1","1","false","(interacts)","SM_C16:0 ((interacts)) PC_aa_C36:3"
"203070",,"0.64","33","(interacts)","PG_ae_C34:0 ((interacts)) PC_aa_C38:2",,"1","1","false","(interacts)","PG_ae_C34:0 ((interacts)) PC_aa_C38:2"
"198052",,"0.65","33","(interacts)","N-C8:1-Cer(2H) ((interacts)) PC_aa_C38:1",,"1","1","false","(interacts)","N-C8:1-Cer(2H) ((interacts)) PC_aa_C38:1"
"190268",,"0.61","33","(interacts)","N-C14:1-Cer ((interacts)) PC_aa_C38:2",,"1","1","false","(interacts)","N-C14:1-Cer ((interacts)) PC_aa_C38:2"
"193238",,"0.61","33","(interacts)","N-C12:0-Cer ((interacts)) PC_aa_C38:2",,"1","1","false","(interacts)","N-C12:0-Cer ((interacts)) PC_aa_C38:2"
"213909",,"0.65","33","(interacts)","PE_ae_C42:1 ((interacts)) PC_aa_C38:1",,"1","1","false","(interacts)","PE_ae_C42:1 ((interacts)) PC_aa_C38:1"
"213318",,"0.62","33","(interacts)","PE_aa_C26:4 ((interacts)) PC_aa_C38:1",,"1","1","false","(interacts)","PE_aa_C26:4 ((interacts)) PC_aa_C38:1"
"188143",,"0.63","33","(interacts)","N-C12:1-Cer(2H) ((interacts)) PC_aa_C38:1",,"1","1","false","(interacts)","N-C12:1-Cer(2H) ((interacts)) PC_aa_C38:1"
"206077",,"0.62","33","(interacts)","PG_aa_C36:4 ((interacts)) PC_aa_C38:1",,"1","1","false","(interacts)","PG_aa_C36:4 ((interacts)) PC_aa_C38:1"
"193409",,"0.63","33","(interacts)","N-C18:0(OH)-Cer ((interacts)) PC_aa_C38:3",,"1","1","false","(interacts)","N-C18:0(OH)-Cer ((interacts)) PC_aa_C38:3"
"203823",,"0.65","33","(interacts)","PG_ae_C32:0 ((interacts)) PC_aa_C38:3",,"1","1","false","(interacts)","PG_ae_C32:0 ((interacts)) PC_aa_C38:3"
"211858","0.6979199871421","0.61","33","(interacts)","PC_ae_C36:5 ((interacts)) PC_aa_C38:4",,"1","1","false","(interacts)","PC_ae_C36:5 ((interacts)) PC_aa_C38:4"
"199586","0.867732752453364","0.64","33","(interacts)","PC_aa_C40:4 ((interacts)) PC_aa_C38:4",,"1","1","false","(interacts)","PC_aa_C40:4 ((interacts)) PC_aa_C38:4"
"203586",,"0.64","33","(interacts)","N-C26:0-Cer(2H) ((interacts)) PC_aa_C38:2",,"1","1","false","(interacts)","N-C26:0-Cer(2H) ((interacts)) PC_aa_C38:2"
"189849",,"0.62","33","(interacts)","N-C20:1-Cer ((interacts)) PC_aa_C38:2",,"1","1","false","(interacts)","N-C20:1-Cer ((interacts)) PC_aa_C38:2"
"204775","0.809402167797","0.61","33","(interacts)","PC_ae_C36:4 ((interacts)) PC_aa_C38:3",,"1","1","false","(interacts)","PC_ae_C36:4 ((interacts)) PC_aa_C38:3"
