"SUID","canonicalName","interaction","interactionStrength","name","selected","shared interaction","shared name"
"347","PE_ae_C42:2 (interacts) N-C14:0-Cer","interacts","0.82","PE_ae_C42:2 (interacts) N-C14:0-Cer","false","interacts","PE_ae_C42:2 (interacts) N-C14:0-Cer"
"348","PE_ae_C42:2 (interacts) N-C18:0-Cer","interacts","0.71","PE_ae_C42:2 (interacts) N-C18:0-Cer","false","interacts","PE_ae_C42:2 (interacts) N-C18:0-Cer"
"349","PE_ae_C42:2 (interacts) N-C20:1-Cer(2H)","interacts","0.82","PE_ae_C42:2 (interacts) N-C20:1-Cer(2H)","false","interacts","PE_ae_C42:2 (interacts) N-C20:1-Cer(2H)"
"350","PE_ae_C42:2 (interacts) N-C22:0-Cer","interacts","0.7","PE_ae_C42:2 (interacts) N-C22:0-Cer","false","interacts","PE_ae_C42:2 (interacts) N-C22:0-Cer"
"351","PE_ae_C42:2 (interacts) N-C24:0-Cer","interacts","0.79","PE_ae_C42:2 (interacts) N-C24:0-Cer","false","interacts","PE_ae_C42:2 (interacts) N-C24:0-Cer"
"352","PE_ae_C42:2 (interacts) N-C28:0-Cer","interacts","0.83","PE_ae_C42:2 (interacts) N-C28:0-Cer","false","interacts","PE_ae_C42:2 (interacts) N-C28:0-Cer"
"353","PC_aa_C32:0 (interacts) PC_ae_C32:0","interacts","0.86","PC_aa_C32:0 (interacts) PC_ae_C32:0","false","interacts","PC_aa_C32:0 (interacts) PC_ae_C32:0"
"354","N-C22:1-Cer (interacts) N-C24:0-Cer","interacts","0.8","N-C22:1-Cer (interacts) N-C24:0-Cer","false","interacts","N-C22:1-Cer (interacts) N-C24:0-Cer"
"355","N-C22:1-Cer (interacts) N-C28:0-Cer","interacts","0.73","N-C22:1-Cer (interacts) N-C28:0-Cer","false","interacts","N-C22:1-Cer (interacts) N-C28:0-Cer"
"356","PC_aa_C32:2 (interacts) PC_aa_C34:1","interacts","0.81","PC_aa_C32:2 (interacts) PC_aa_C34:1","false","interacts","PC_aa_C32:2 (interacts) PC_aa_C34:1"
"357","PC_aa_C32:2 (interacts) PC_aa_C34:2","interacts","0.9","PC_aa_C32:2 (interacts) PC_aa_C34:2","false","interacts","PC_aa_C32:2 (interacts) PC_aa_C34:2"
"358","PC_aa_C32:2 (interacts) PC_aa_C36:2","interacts","0.9","PC_aa_C32:2 (interacts) PC_aa_C36:2","false","interacts","PC_aa_C32:2 (interacts) PC_aa_C36:2"
"359","PC_aa_C32:2 (interacts) PC_ae_C32:1","interacts","0.93","PC_aa_C32:2 (interacts) PC_ae_C32:1","false","interacts","PC_aa_C32:2 (interacts) PC_ae_C32:1"
"360","PC_aa_C32:2 (interacts) PC_ae_C34:1","interacts","0.87","PC_aa_C32:2 (interacts) PC_ae_C34:1","false","interacts","PC_aa_C32:2 (interacts) PC_ae_C34:1"
"361","PC_aa_C32:2 (interacts) PC_ae_C34:2","interacts","0.96","PC_aa_C32:2 (interacts) PC_ae_C34:2","false","interacts","PC_aa_C32:2 (interacts) PC_ae_C34:2"
"362","PC_aa_C32:2 (interacts) PC_ae_C36:2","interacts","0.87","PC_aa_C32:2 (interacts) PC_ae_C36:2","false","interacts","PC_aa_C32:2 (interacts) PC_ae_C36:2"
"363","PC_aa_C32:2 (interacts) PS_aa_C34:1","interacts","0.74","PC_aa_C32:2 (interacts) PS_aa_C34:1","false","interacts","PC_aa_C32:2 (interacts) PS_aa_C34:1"
"364","PC_aa_C32:2 (interacts) PS_aa_C36:1","interacts","0.76","PC_aa_C32:2 (interacts) PS_aa_C36:1","false","interacts","PC_aa_C32:2 (interacts) PS_aa_C36:1"
"365","PC_aa_C32:2 (interacts) SM_C14:0","interacts","0.79","PC_aa_C32:2 (interacts) SM_C14:0","false","interacts","PC_aa_C32:2 (interacts) SM_C14:0"
"366","PC_aa_C32:2 (interacts) SM_C16:0","interacts","0.79","PC_aa_C32:2 (interacts) SM_C16:0","false","interacts","PC_aa_C32:2 (interacts) SM_C16:0"
"367","PC_aa_C32:2 (interacts) SM_C16:1","interacts","0.75","PC_aa_C32:2 (interacts) SM_C16:1","false","interacts","PC_aa_C32:2 (interacts) SM_C16:1"
"368","PC_aa_C32:2 (interacts) SM_C18:1","interacts","0.75","PC_aa_C32:2 (interacts) SM_C18:1","false","interacts","PC_aa_C32:2 (interacts) SM_C18:1"
