"SUID","canonicalName","Cooccurrence","Coregulation","CoregulationBin","interaction","interactionStrength","name","NetworkPresence","NewBin","NewBin2","selected","shared interaction","shared name"
"199866","","0.68219804614787","0.84","","(interacts)",,"PC_aa_C34:2 ((interacts)) LPC_a_C16:0",,"","","false","(interacts)","PC_aa_C34:2 ((interacts)) LPC_a_C16:0"
"199867","","0.627038240432667","0.71","","(interacts)",,"PC_aa_C34:2 ((interacts)) LPC_a_C18:0",,"","","false","(interacts)","PC_aa_C34:2 ((interacts)) LPC_a_C18:0"
"199868","","0.81797278967014","0.96","","(interacts)",,"PC_aa_C34:2 ((interacts)) PC_aa_C32:1",,"","","false","(interacts)","PC_aa_C34:2 ((interacts)) PC_aa_C32:1"
"199869","","0.853441668804349","0.9","","(interacts)",,"PC_aa_C34:2 ((interacts)) PC_aa_C32:2",,"","","false","(interacts)","PC_aa_C34:2 ((interacts)) PC_aa_C32:2"
"199870","","0.864544277255568","0.7","","(interacts)",,"PC_aa_C34:3 ((interacts)) PC_aa_C32:2",,"","","false","(interacts)","PC_aa_C34:3 ((interacts)) PC_aa_C32:2"
"199871","","0.510289867719","0.83","","(interacts)",,"PC_aa_C34:3 ((interacts)) LPC_a_C18:0",,"","","false","(interacts)","PC_aa_C34:3 ((interacts)) LPC_a_C18:0"
"199872","","0.571471467614","0.78","","(interacts)",,"PC_aa_C34:3 ((interacts)) LPC_a_C18:1",,"","","false","(interacts)","PC_aa_C34:3 ((interacts)) LPC_a_C18:1"
"199873","","0.847177171281357","0.6","","(interacts)",,"PC_aa_C34:3 ((interacts)) PC_aa_C30:0",,"","","false","(interacts)","PC_aa_C34:3 ((interacts)) PC_aa_C30:0"
"199874","","0.818580662882027","0.9","","(interacts)",,"PC_aa_C34:3 ((interacts)) PC_aa_C34:1",,"","","false","(interacts)","PC_aa_C34:3 ((interacts)) PC_aa_C34:1"
"199875","","0.86930138101941","0.86","","(interacts)",,"PC_aa_C34:3 ((interacts)) PC_aa_C34:2",,"","","false","(interacts)","PC_aa_C34:3 ((interacts)) PC_aa_C34:2"
"199876","","0.811236244601189","0.93","","(interacts)",,"PC_aa_C34:3 ((interacts)) PC_aa_C32:1",,"","","false","(interacts)","PC_aa_C34:3 ((interacts)) PC_aa_C32:1"
"199877","","0.53854723777626","0.92","","(interacts)",,"PC_aa_C34:3 ((interacts)) LPC_a_C16:0",,"","","false","(interacts)","PC_aa_C34:3 ((interacts)) LPC_a_C16:0"
"199878","","0.5704188644885","0.9","","(interacts)",,"PC_aa_C34:1 ((interacts)) LPC_a_C18:1",,"","","false","(interacts)","PC_aa_C34:1 ((interacts)) LPC_a_C18:1"
"199879","","0.815800551325025","0.81","","(interacts)",,"PC_aa_C34:1 ((interacts)) PC_aa_C32:2",,"","","false","(interacts)","PC_aa_C34:1 ((interacts)) PC_aa_C32:2"
"199880","","0.843615610425073","0.99","","(interacts)",,"PC_aa_C34:1 ((interacts)) PC_aa_C32:1",,"","","false","(interacts)","PC_aa_C34:1 ((interacts)) PC_aa_C32:1"
"199881","","0.5976021021606","0.86","","(interacts)",,"PC_aa_C34:1 ((interacts)) LPC_a_C16:0",,"","","false","(interacts)","PC_aa_C34:1 ((interacts)) LPC_a_C16:0"
"199882","","0.499859382708667","0.77","","(interacts)",,"PC_aa_C34:1 ((interacts)) LPC_a_C18:0",,"","","false","(interacts)","PC_aa_C34:1 ((interacts)) LPC_a_C18:0"
"199883","","0.8948034465312","0.77","","(interacts)",,"SM_C16:0 ((interacts)) PC_ae_C34:1",,"","","false","(interacts)","SM_C16:0 ((interacts)) PC_ae_C34:1"
"199884","","0.807175869033429","0.79","","(interacts)",,"SM_C16:0 ((interacts)) PC_aa_C36:4",,"","","false","(interacts)","SM_C16:0 ((interacts)) PC_aa_C36:4"
"199885","","0.736934719437918","0.81","","(interacts)",,"SM_C16:0 ((interacts)) PC_aa_C34:3",,"","","false","(interacts)","SM_C16:0 ((interacts)) PC_aa_C34:3"
"199886","","0.732977624820609","0.83","","(interacts)",,"SM_C16:0 ((interacts)) PC_aa_C32:1",,"","","false","(interacts)","SM_C16:0 ((interacts)) PC_aa_C32:1"
"199887","","0.805100355459304","0.79","","(interacts)",,"SM_C16:0 ((interacts)) PC_aa_C34:1",,"","","false","(interacts)","SM_C16:0 ((interacts)) PC_aa_C34:1"
"199888","","0.819598393595696","0.78","","(interacts)",,"SM_C16:0 ((interacts)) PC_aa_C34:2",,"","","false","(interacts)","SM_C16:0 ((interacts)) PC_aa_C34:2"
"199889","","0.819117988858952","0.79","","(interacts)",,"SM_C16:0 ((interacts)) PC_aa_C36:2",,"","","false","(interacts)","SM_C16:0 ((interacts)) PC_aa_C36:2"
"199890","","0.701100047145619","0.79","","(interacts)",,"SM_C16:0 ((interacts)) PC_aa_C32:2",,"","","false","(interacts)","SM_C16:0 ((interacts)) PC_aa_C32:2"
"199891","","0.779509866939","0.86","","(interacts)",,"SM_C16:0 ((interacts)) SM_C14:0",,"","","false","(interacts)","SM_C16:0 ((interacts)) SM_C14:0"
"199892","","0.8091746285558","0.63","","(interacts)",,"SM_C16:0 ((interacts)) LPC_a_C16:0",,"","","false","(interacts)","SM_C16:0 ((interacts)) LPC_a_C16:0"
"199893","","0.098158210516","0.6","","(interacts)",,"SM_C16:0 ((interacts)) PG_aa_C34:1",,"","","false","(interacts)","SM_C16:0 ((interacts)) PG_aa_C34:1"
"199894","","0.8321672876675","0.62","","(interacts)",,"SM_C16:0 ((interacts)) PC_aa_C38:4",,"","","false","(interacts)","SM_C16:0 ((interacts)) PC_aa_C38:4"
"199895","","0.798607485161944","0.61","","(interacts)",,"SM_C16:0 ((interacts)) PC_aa_C36:3",,"","","false","(interacts)","SM_C16:0 ((interacts)) PC_aa_C36:3"
