"SUID","FromHit","FromHit2","FromLipid","FromLipidChemicalFormula","FromLipidChemicalFormulaMatch","name","selected","shared name","ToHit","ToHit2","ToLipid","ToLipidChemicalFormula","ToLipidChemicalFormulaMatch"
"184599","true","true","PC aa C34:3","C42H78NO8P","C42H78NO8P","PC_aa_C34:3","false","PC_aa_C34:3","false","false","PC aa C34:3","C42H78NO8P","character(0)"
"184600","false","false","PS aa C42:2","C48H90NO10P","character(0)","PS_aa_C42:2","false","PS_aa_C42:2","false","false","PS aa C42:2","C48H90NO10P","character(0)"
"184601","true","true","PC aa C32:2","C40H76NO8P","C40H76NO8P","PC_aa_C32:2","false","PC_aa_C32:2","true","true","PC aa C32:2","C40H76NO8P","C40H76NO8P"
"184602","true","true","N-C22:0-Cer","C40H79NO3","C40H79NO3","N-C22:0-Cer","false","N-C22:0-Cer","true","true","N-C22:0-Cer","C40H79NO3","C40H79NO3"
"184603","true","true","PG aa C36:3","C42H77O10P","C42H77O10P","PG_aa_C36:3","false","PG_aa_C36:3","true","true","PG aa C36:3","C42H77O10P","C42H77O10P"
"184604","false","false","PE aa C22:2","C27H50NO8P","character(0)","PE_aa_C22:2","false","PE_aa_C22:2","false","false","PE aa C22:2","C27H50NO8P","character(0)"
"184605","false","false","PE aa C20:0","C25H50NO8P","character(0)","PE_aa_C20:0","false","PE_aa_C20:0","false","false","PE aa C20:0","C25H50NO8P","character(0)"
"184606","false","false","LPE a C22:6","C27H44NO7P","character(0)","LPE_a_C22:6","false","LPE_a_C22:6","false","false","LPE a C22:6","C27H44NO7P","character(0)"
"184607","true","true","LPE a C20:4","C25H44NO7P","C25H44NO7P","LPE_a_C20:4","false","LPE_a_C20:4","false","false","LPE a C20:4","C25H44NO7P","character(0)"
"184608","true","true","PE ae C36:3","C41H78NO7P","C41H78NO7P","PE_ae_C36:3","false","PE_ae_C36:3","true","true","PE ae C36:3","C41H78NO7P","C41H78NO7P"
"184609","true","true","PE ae C36:2","C41H80NO7P","C41H80NO7P","PE_ae_C36:2","false","PE_ae_C36:2","false","false","PE ae C36:2","C41H80NO7P","character(0)"
"184610","true","true","PE ae C34:2","C39H76NO7P","C39H76NO7P","PE_ae_C34:2","false","PE_ae_C34:2","true","true","PE ae C34:2","C39H76NO7P","C39H76NO7P"
"184611","true","true","PE aa C36:3","C41H76NO8P","C41H76NO8P","PE_aa_C36:3","false","PE_aa_C36:3","true","true","PE aa C36:3","C41H76NO8P","C41H76NO8P"
"184612","false","false","LPC a C20:4","C28H50NO7P","character(0)","LPC_a_C20:4","false","LPC_a_C20:4","false","false","LPC a C20:4","C28H50NO7P","character(0)"
"184613","false","false","","","","LPC_a_C16:0","false","LPC_a_C16:0","true","true","LPC a C16:0","C24H50NO7P","C24H50NO7P"
"184614","true","true","PE ae C38:2","C43H84NO7P","C43H84NO7P","PE_ae_C38:2","false","PE_ae_C38:2","true","true","PE ae C38:2","C43H84NO7P","C43H84NO7P"
"184615","false","false","PG aa C36:0","C42H83O10P","character(0)","PG_aa_C36:0","false","PG_aa_C36:0","false","false","PG aa C36:0","C42H83O10P","character(0)"
"184616","false","false","PG aa C30:0","C36H71O10P","character(0)","PG_aa_C30:0","false","PG_aa_C30:0","false","false","PG aa C30:0","C36H71O10P","character(0)"
"184617","false","false","SM C16:1","C39H77N2O6P","character(0)","SM_C16:1","false","SM_C16:1","false","false","SM C16:1","C39H77N2O6P","character(0)"
"184618","true","true","PE aa C38:4","C43H78NO8P","C43H78NO8P","PE_aa_C38:4","false","PE_aa_C38:4","true","true","PE aa C38:4","C43H78NO8P","C43H78NO8P"
"184619","false","false","SM C22:3","C45H85N2O6P","character(0)","SM_C22:3","false","SM_C22:3","false","false","SM C22:3","C45H85N2O6P","character(0)"
"184620","true","true","PE aa C36:1","C41H80NO8P","C41H80NO8P","PE_aa_C36:1","false","PE_aa_C36:1","true","true","PE aa C36:1","C41H80NO8P","C41H80NO8P"
"184621","false","false","SM C20:2","C43H83N2O6P","character(0)","SM_C20:2","false","SM_C20:2","false","false","SM C20:2","C43H83N2O6P","character(0)"
"184622","true","true","PC ae C40:5","C48H88NO7P","C48H88NO7P","PC_ae_C40:5","false","PC_ae_C40:5","false","false","PC ae C40:5","C48H88NO7P","character(0)"
"184623","true","true","PC ae C38:6","C46H82NO7P","C46H82NO7P","PC_ae_C38:6","false","PC_ae_C38:6","true","true","PC ae C38:6","C46H82NO7P","C46H82NO7P"
"184624","true","true","PS aa C36:4","C42H74NO10P","C42H74NO10P","PS_aa_C36:4","false","PS_aa_C36:4","false","false","PS aa C36:4","C42H74NO10P","character(0)"
"184625","false","false","PC ae C38:3","C46H88NO7P","character(0)","PC_ae_C38:3","false","PC_ae_C38:3","false","false","PC ae C38:3","C46H88NO7P","character(0)"
"184626","true","true","PS aa C36:2","C42H78NO10P","C42H78NO10P","PS_aa_C36:2","false","PS_aa_C36:2","false","false","PS aa C36:2","C42H78NO10P","character(0)"
"184627","true","true","PS aa C38:4","C44H78NO10P","C44H78NO10P","PS_aa_C38:4","false","PS_aa_C38:4","true","true","PS aa C38:4","C44H78NO10P","C44H78NO10P"
"184628","true","true","PE aa C38:5","C43H76NO8P","C43H76NO8P","PE_aa_C38:5","false","PE_aa_C38:5","true","true","PE aa C38:5","C43H76NO8P","C43H76NO8P"
"184629","false","false","PC ae C36:5","C44H80NO7P","character(0)","PC_ae_C36:5","false","PC_ae_C36:5","false","false","PC ae C36:5","C44H80NO7P","character(0)"
"184630","true","true","PE aa C34:2","C39H74NO8P","C39H74NO8P","PE_aa_C34:2","false","PE_aa_C34:2","true","true","PE aa C34:2","C39H74NO8P","C39H74NO8P"
"184631","false","false","PE ae C46:6","C51H92NO7P","character(0)","PE_ae_C46:6","false","PE_ae_C46:6","false","false","PE ae C46:6","C51H92NO7P","character(0)"
"184632","false","false","PE ae C42:2","C47H92NO7P","character(0)","PE_ae_C42:2","false","PE_ae_C42:2","false","false","PE ae C42:2","C47H92NO7P","character(0)"
"184633","true","true","PE ae C40:2","C45H88NO7P","C45H88NO7P","PE_ae_C40:2","false","PE_ae_C40:2","false","false","PE ae C40:2","C45H88NO7P","character(0)"
"184634","true","true","PE ae C38:1","C43H86NO7P","C43H86NO7P","PE_ae_C38:1","false","PE_ae_C38:1","false","false","PE ae C38:1","C43H86NO7P","character(0)"
"184635","true","true","PC ae C36:2","C44H86NO7P","C44H86NO7P","PC_ae_C36:2","false","PC_ae_C36:2","false","false","PC ae C36:2","C44H86NO7P","character(0)"
"184636","true","true","PC ae C34:2","C42H82NO7P","C42H82NO7P","PC_ae_C34:2","false","PC_ae_C34:2","false","false","PC ae C34:2","C42H82NO7P","character(0)"
